steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
5412	47	10.303833484649658	72.0	72.0	0.0	72.0	72.0	-9.368782	0.5703263561957282	5412	4913	5412
5458	48	10.379640817642212	72.0	72.0	0.0	72.0	72.0	-9.277449	0.7684322839515516	5458	4959	5458
5499	49	10.700758218765259	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.287459	0.84770936285262	5499	5000	5499
5552	50	11.047043561935425	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.330276	0.9872635592916049	5552	5053	5552
5598	51	11.384610414505005	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.33896	1.0489562815858517	5598	5099	5598
6203	52	12.29866337776184	69.0	69.0	0.0	69.0	69.0	-9.375559	0.7114237082772888	6203	5704	6203
6243	53	12.368221044540405	69.0	69.0	0.0	69.0	69.0	-9.30243	0.833167638273444	6243	5744	6243
6298	54	12.465220212936401	69.0	69.0	0.0	69.0	69.0	-9.4025	1.017289563739905	6298	5799	6298
6734	55	13.136091947555542	69.0	69.0	0.0	69.0	69.0	-9.136684	1.2051493514503817	6734	6235	6734
6772	56	13.475991487503052	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-9.216305	1.1716372000752018	6772	6273	6772
6829	57	13.57225751876831	72.0	72.0	0.0	72.0	72.0	-9.292006	0.7081453318765852	6829	6330	6829
6871	58	13.641985654830933	72.0	72.0	0.0	72.0	72.0	-9.036185	0.7041641201416496	6871	6372	6871
6937	59	13.752691745758057	72.0	72.0	0.0	72.0	72.0	-8.840973	0.9440094081242569	6937	6438	6937
6979	60	13.82280421257019	72.0	72.0	0.0	72.0	72.0	-8.904629	0.9103404998162296	6979	6480	6979
7022	61	14.152953386306763	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-8.996276	0.9084919528791215	7022	6523	7022
7078	62	14.244492292404175	72.0	72.0	0.0	72.0	72.0	-8.70098	1.1181641358276828	7078	6579	7078
7129	63	14.327978372573853	72.0	72.0	0.0	72.0	72.0	-8.7984295	1.0219130527111702	7129	6630	7129
7182	64	14.425128698348999	72.0	72.0	0.0	72.0	72.0	-8.800816	0.8098853795137256	7182	6683	7182
7239	65	14.52022123336792	72.0	72.0	0.0	72.0	72.0	-8.650391	0.8960308462707326	7239	6740	7239
7276	66	14.583717584609985	72.0	72.0	0.0	72.0	72.0	-8.571506	1.0414422760275193	7276	6777	7276
7323	67	14.66154170036316	72.0	72.0	0.0	72.0	72.0	-8.461012	0.772731246650219	7323	6824	7323
7357	68	14.726402759552002	72.0	72.0	0.0	72.0	72.0	-8.428944	0.830296658766456	7357	6858	7357
7411	69	14.81288766860962	72.0	72.0	0.0	72.0	72.0	-8.043489	1.1198288107611005	7411	6912	7411
7463	70	14.899141311645508	72.0	72.0	0.0	72.0	72.0	-8.136645	1.0874794424814171	7463	6964	7463
7514	71	14.982087135314941	72.0	72.0	0.0	72.0	72.0	-8.23005	0.8500661648542155	7514	7015	7514
7550	72	15.046119928359985	72.0	72.0	0.0	72.0	72.0	-8.0973	0.6740876984305214	7550	7051	7550
7601	73	15.12905502319336	72.0	72.0	0.0	72.0	72.0	-8.163151	0.7302411368256435	7601	7102	7601
7656	74	15.219927072525024	72.0	72.0	0.0	72.0	72.0	-8.121012	0.7089844356803223	7656	7157	7656
7722	75	15.324992179870605	72.0	72.0	0.0	72.0	72.0	-8.071911	0.5377426751016173	7722	7223	7722
7762	76	15.396194696426392	72.0	72.0	0.0	72.0	72.0	-7.875255	0.6115310691564809	7762	7263	7762
7823	77	15.499607563018799	72.0	72.0	0.0	72.0	72.0	-7.667397	0.894262976028258	7823	7324	7823
